# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,butterworth,1,prewarp_vs_sos_ref,8.326673e-17,2.220446e-16,3.330669e-16
constfilt,butterworth,2,prewarp_vs_sos_ref,1.249001e-16,0.000000e+00,2.442491e-15
constfilt,butterworth,3,prewarp_vs_sos_ref,1.283695e-16,2.442491e-15,2.109424e-15
constfilt,butterworth,4,prewarp_vs_sos_ref,1.630640e-16,3.108624e-15,1.154632e-14
constfilt,butterworth,5,prewarp_vs_sos_ref,1.647987e-16,8.881784e-16,1.310063e-14
constfilt,butterworth,6,prewarp_vs_sos_ref,1.231654e-16,1.154632e-14,1.074696e-13
constfilt,butterworth,7,prewarp_vs_sos_ref,2.493665e-16,2.664535e-14,4.085621e-13
constfilt,butterworth,8,prewarp_vs_sos_ref,5.490400e-16,5.684342e-14,8.847367e-13
constfilt,butterworth,9,prewarp_vs_sos_ref,4.832289e-16,2.842171e-14,2.920775e-12
constfilt,butterworth,10,prewarp_vs_sos_ref,3.041296e-15,2.486900e-14,1.928790e-11
constfilt,butterworth,11,prewarp_vs_sos_ref,1.426024e-15,3.197442e-13,4.229839e-11
constfilt,butterworth,12,prewarp_vs_sos_ref,1.350920e-14,1.563194e-13,3.494585e-10
constfilt,butterworth,13,prewarp_vs_sos_ref,1.669265e+02,2.072406e+02,1.000051e+56
constfilt,butterworth,14,prewarp_vs_sos_ref,2.970068e+02,3.806785e+02,5.289393e+25
constfilt,butterworth,15,prewarp_vs_sos_ref,5.720000e+02,6.637002e+02,1.049071e+15
constfilt,butterworth,16,prewarp_vs_sos_ref,1.001000e+03,1.204101e+03,1.695998e+11
constfilt,butterworth,17,prewarp_vs_sos_ref,2.002000e+03,2.228847e+03,5.477086e+13
constfilt,butterworth,18,prewarp_vs_sos_ref,3.640000e+03,3.926981e+03,7.193129e+15
constfilt,butterworth,19,prewarp_vs_sos_ref,7.072000e+03,7.633338e+03,5.160525e+17
constfilt,butterworth,20,prewarp_vs_sos_ref,1.326000e+04,1.387510e+04,3.224845e+22
constfilt,butterworth,21,prewarp_vs_sos_ref,2.519400e+04,2.658407e+04,1.000000e+00
constfilt,butterworth,22,prewarp_vs_sos_ref,4.845000e+04,4.999568e+04,1.000000e+00
constfilt,butterworth,23,prewarp_vs_sos_ref,1.000000e+00,0.000000e+00,5.081275e+31
constfilt,butterworth,24,prewarp_vs_sos_ref,1.000000e+00,0.000000e+00,1.000000e+00
constfilt,butterworth,25,prewarp_vs_sos_ref,1.000000e+00,0.000000e+00,1.000000e+00
constfilt,elliptic,2,zoh,1.637579e-15,2.886580e-15,3.330669e-15
constfilt,elliptic,3,zoh,2.914335e-16,1.776357e-15,1.054712e-14
constfilt,elliptic,4,zoh,1.339207e-15,2.220446e-15,1.398881e-14
constfilt,elliptic,5,zoh,3.580469e-15,7.105427e-15,1.552092e-13
constfilt,elliptic,6,zoh,5.324907e-14,7.105427e-15,5.486722e-13
constfilt,elliptic,7,zoh,4.118927e-13,1.456613e-13,3.736900e-12
constfilt,elliptic,8,zoh,8.463119e-12,4.440892e-12,7.992385e-11
constfilt,elliptic,9,zoh,2.714584e-11,4.853007e-12,9.978599e-10
constfilt,elliptic,10,zoh,4.340908e-09,9.057430e-10,1.226461e-07
constfilt,elliptic,11,zoh,2.038082e-09,1.991654e-08,4.123424e-07
constfilt,elliptic,12,zoh,3.234601e-07,1.278362e-06,2.307936e-03
constfilt,elliptic,13,zoh,1.285385e-05,1.113498e-05,1.008333e-02
constfilt,elliptic,14,zoh,1.380205e-01,3.379845e-02,3.457632e+02
constfilt,elliptic,15,zoh,3.704326e-01,4.242999e-01,7.157422e+06
constfilt,elliptic,16,zoh,5.426471e+02,2.362651e+03,8.977213e+20
constfilt,elliptic,17,zoh,6.613081e+02,7.678504e+03,6.454534e+60
constfilt,elliptic,18,zoh,1.499687e+04,6.422962e+03,3.811486e+82
constfilt,elliptic,19,zoh,1.389593e+04,4.033156e+04,2.603687e+103
constfilt,elliptic,20,zoh,1.188835e+04,4.819426e+04,2.187216e+32
